datetime,enterococcus_mpn_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2019-05-29T04:44:00Z,5,North Kenai Beach,6.111111111111111,NA,NA,8.9,2.923032,4.828032,45,NA
2019-06-04T06:39:00Z,139,North Kenai Beach,9.444444444444445,NA,NA,10.3,5.315712,14.484096000000001,180,NA
2019-06-18T08:05:00Z,36,North Kenai Beach,10.555555555555555,NA,NA,11.6,5.2486559999999995,20.921472,180,NA
2019-06-25T09:50:00Z,15,North Kenai Beach,11.11111111111111,NA,NA,13.8,3.462528,20.921472,225,NA
2019-07-02T06:24:00Z,46,North Kenai Beach,11.666666666666666,NA,NA,14.6,4.788408,4.828032,45,NA
2019-07-09T09:22:00Z,3,North Kenai Beach,16.666666666666668,NA,NA,16,5.556504,11.265408,180,NA
2019-07-17T07:10:00Z,365,North Kenai Beach,11.11111111111111,NA,NA,13.8,4.968240000000001,4.828032,225,NA
2019-07-23T09:35:00Z,72,North Kenai Beach,15,NA,NA,15.3,4.25196,20.921472,225,NA
2019-08-01T07:40:00Z,291,North Kenai Beach,12.222222222222221,NA,NA,14.7,5.614416000000001,9.656064,135,NA
2019-08-06T08:45:00Z,27,North Kenai Beach,17.22222222222222,NA,NA,15.9,6.702552,19.312128,180,NA
2019-08-20T08:42:00Z,16,North Kenai Beach,NA,NA,NA,NA,5.443728,NA,NA,NA
2019-09-04T09:35:00Z,20,North Kenai Beach,NA,NA,NA,13.4,7.296912000000001,NA,NA,NA
2020-05-26T08:45:00Z,2,North Kenai Beach,8,NA,NA,8.3,1.322832,5.552236800000001,140,0.18414999999999998
2020-06-04T07:00:00Z,27,North Kenai Beach,8,NA,NA,9.8,1.7861280000000002,22.225040640000003,180,0
2020-06-09T08:36:00Z,8,North Kenai Beach,8,NA,NA,9.7,1.4721840000000002,14.822058240000002,210,0.3429
2020-06-18T06:35:00Z,13,North Kenai Beach,8,NA,NA,12.1,2.185416,0,NA,0
2020-06-23T09:00:00Z,18,North Kenai Beach,11,NA,NA,12.1,2.7371040000000004,14.822058240000002,200,0.05715
2020-06-29T11:13:00Z,2,North Kenai Beach,14,NA,NA,12.6,1.72212,31.47876864,200,0.6095999999999999
2020-07-07T07:45:00Z,4,North Kenai Beach,12.2,NA,NA,13.5,2.7675840000000003,0,NA,0.127
2020-07-13T10:38:00Z,5,North Kenai Beach,16,NA,NA,13.4,1.362456,12.971312640000003,20,0.07619999999999999
2020-07-20T08:00:00Z,6,North Kenai Beach,14,NA,NA,14,2.688336,11.120567040000001,150,NA
2020-08-05T09:10:00Z,38,North Kenai Beach,15,NA,NA,14.5,2.700528,11.120567040000001,210,0.038099999999999995
2020-08-11T06:00:00Z,8,North Kenai Beach,11,NA,NA,12.3,1.4599920000000002,5.552236800000001,130,5.334000000000001e-4
2020-08-18T08:25:00Z,23,North Kenai Beach,13,NA,NA,14.5,2.7371040000000004,12.971312640000003,210,0
