datetime,fecal_coliform_cfu_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2013-07-09T04:49:00Z,8.6,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-10T11:45:00Z,23,North Kenai Beach,15,2059,7.67,10.1,NA,NA,NA,NA
2013-07-10T11:46:00Z,31,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-14T06:57:00Z,17,North Kenai Beach,12,34330,8.15,12.8,NA,NA,NA,NA
2013-07-14T07:03:00Z,29,North Kenai Beach,12,34169,NA,12.8,NA,NA,NA,NA
2013-07-16T10:15:00Z,5.7,North Kenai Beach,NA,36830,8.08,13,NA,NA,NA,NA
2013-07-21T04:30:00Z,500,North Kenai Beach,8.888888889,4516,8.03,13.4,NA,NA,NA,NA
2013-07-21T04:45:00Z,660,North Kenai Beach,8.888888889,10392,8.01,13.5,NA,NA,NA,NA
2013-07-24T08:10:00Z,110,North Kenai Beach,14,23786,8.15,13.7,NA,NA,NA,NA
2013-07-24T08:11:00Z,160,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-28T08:40:00Z,11,North Kenai Beach,17.6,36065,8.18,14.7,NA,NA,NA,NA
2013-07-31T11:27:00Z,14,North Kenai Beach,NA,4157,7.98,14.8,NA,NA,NA,NA
2013-08-04T10:55:00Z,54,North Kenai Beach,14,821.6,8.06,13.5,NA,NA,NA,NA
2013-08-04T11:05:00Z,63,North Kenai Beach,14,343,8.02,13.3,NA,NA,NA,NA
2013-08-06T11:10:00Z,60,North Kenai Beach,NA,1406,8.06,13,NA,NA,NA,NA
2013-08-11T05:37:00Z,8.6,North Kenai Beach,9,38143,8.18,12.7,NA,NA,NA,NA
2013-08-11T05:44:00Z,2.9,North Kenai Beach,9,38085,8.2,12.7,NA,NA,NA,NA
2014-07-07T09:15:00Z,80,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-07T10:40:00Z,46,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09T03:35:00Z,120,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09T03:43:00Z,92,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-13T04:50:00Z,17,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-17T09:07:00Z,2.9,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-20T10:56:00Z,2.9,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-20T11:07:00Z,17,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T04:27:00Z,96,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T13:55:00Z,34,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T14:05:00Z,84,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-27T06:38:00Z,220,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-29T07:27:00Z,100,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-29T07:30:00Z,31,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-04T09:08:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06T11:27:00Z,37,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06T11:33:00Z,17,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-14T08:48:00Z,310,North Kenai Beach,11.11111111,NA,NA,11.8,NA,NA,NA,NA
2018-06-29T09:28:00Z,8,North Kenai Beach,11.11111111,NA,NA,10.2,2.7432,6.437376,NA,NA
2018-07-03T08:23:00Z,88,North Kenai Beach,15,NA,NA,11.8,5.4864,11.265408,NA,NA
2018-07-13T07:46:00Z,36,North Kenai Beach,9.444444444,NA,NA,11.9,5.1816,8.04672,NA,NA
2018-07-25T09:03:00Z,138,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T10:05:00Z,96,North Kenai Beach,NA,NA,NA,12.3,0.4572,22.530816,NA,NA
2018-07-25T11:15:00Z,148,North Kenai Beach,15,NA,NA,12.5,0.9144,22.530816,NA,NA
2018-07-25T12:01:00Z,113,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T13:01:00Z,40,North Kenai Beach,15.55555556,NA,NA,12.8,2.4384,24.14016,NA,NA
2018-07-25T14:00:00Z,34,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T15:00:00Z,18,North Kenai Beach,15.55555556,NA,NA,13.5,3.3528,24.14016,NA,NA
2018-07-25T16:00:00Z,260,North Kenai Beach,15.55555556,NA,NA,13.5,4.2672,12.874752,NA,NA
2018-07-25T17:00:00Z,179,North Kenai Beach,15.55555556,NA,NA,13.6,4.8768,7.14,NA,NA
2018-07-25T18:00:00Z,143,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T19:00:00Z,290,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T20:00:00Z,166,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T21:00:00Z,112,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T22:00:00Z,64,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T23:00:00Z,84,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T00:00:00Z,143,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T01:00:00Z,62,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T02:00:00Z,10,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T03:00:00Z,2,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T04:00:00Z,4,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T05:00:00Z,237,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T06:00:00Z,119,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T07:00:00Z,99,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T08:00:00Z,260,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-02T08:45:00Z,56,North Kenai Beach,11.66666667,NA,NA,13.1,5.1816,0,NA,NA
2018-08-10T06:05:00Z,27,North Kenai Beach,5,NA,NA,13.3,5.4864,11.265408,NA,NA
2018-08-15T09:00:00Z,8,North Kenai Beach,8.333333333,NA,NA,12.1,5.4864,0,NA,NA
2018-08-24T09:00:00Z,58,North Kenai Beach,13.33333333,NA,NA,11,1.524,16.09344,NA,NA
2018-08-29T09:35:00Z,25,North Kenai Beach,7.222222222,NA,NA,NA,3.6576,4.828032,NA,NA
2018-09-07T08:05:00Z,40,North Kenai Beach,11.11111111,NA,NA,12,1.524,4.828032,NA,NA
2019-05-21T06:46:00Z,1,North Kenai Beach,6.666666667,NA,NA,8.4,5.6388,19.312128,180,NA
2019-05-29T04:44:00Z,25,North Kenai Beach,6.111111111,NA,NA,8.9,2.923032,4.828032,45,NA
2019-06-04T06:39:00Z,102,North Kenai Beach,9.444444444,NA,NA,10.3,5.315712,14.484096,180,NA
2019-06-11T11:18:00Z,2,North Kenai Beach,15.55555556,NA,NA,12.3,4.858512,14.484096,135,NA
2019-06-18T08:05:00Z,41,North Kenai Beach,10.55555556,NA,NA,11.6,5.248656,20.921472,180,NA
2019-06-25T09:50:00Z,44,North Kenai Beach,11.11111111,NA,NA,13.8,3.462528,20.921472,225,NA
2019-07-02T06:24:00Z,57,North Kenai Beach,11.66666667,NA,NA,14.6,4.788408,4.828032,45,NA
2019-07-09T09:22:00Z,7,North Kenai Beach,16.66666667,NA,NA,16,5.556504,11.265408,180,NA
2019-07-17T07:10:00Z,346,North Kenai Beach,11.11111111,NA,NA,13.8,4.96824,4.828032,225,NA
2019-07-23T09:35:00Z,83,North Kenai Beach,15,NA,NA,15.3,4.25196,20.921472,225,NA
2019-08-01T07:40:00Z,158,North Kenai Beach,12.22222222,NA,NA,14.7,5.614416,9.656064,135,NA
2019-08-06T08:45:00Z,2,North Kenai Beach,17.22222222,NA,NA,15.9,6.702552,19.312128,180,NA
2019-08-20T08:42:00Z,39,North Kenai Beach,NA,NA,NA,NA,5.443728,NA,NA,NA
2019-09-04T09:35:00Z,2,North Kenai Beach,NA,NA,NA,13.4,7.296912,NA,NA,NA
2020-06-04T07:00:00Z,36,North Kenai Beach,8,NA,NA,9.8,1.786128,22.22504064,180,0
