"Location","Year","Bacteria","Date","30 Day Geometric Mean Value","Individual Sample Value","30 Day Geometric Mean Exceedence","10% of Individual Samples in Prior 30 Days Exceedence"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-09-04,"  6.7",2,"","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-05-26,"",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-06-04,"",9.3,"",""
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-06-09,"",12,"",""
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-06-18,"",31,"",""
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-06-23,"",28,"",""
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-06-29," 12.6",3.3,"","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-07-07," 17.7",50,"> 14","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-07-13," 18.5",15,"> 14","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-07-20," 19.4",40,"> 14","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-07-27," 15.8",10,"> 14","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-08-05," 24.4",29,"> 14","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-08-11," 20.1",19,"> 14","> 31"
"Kenai River Gull Rookery 2",2020,"Fecal Coliform",2020-08-18," 22.6",27,"> 14","> 31"
"North Kenai Beach 4",2019,"Enterococci",2019-05-21,"",1,"",""
"North Kenai Beach 4",2019,"Enterococci",2019-05-29,"",6,"",""
"North Kenai Beach 4",2019,"Enterococci",2019-06-04,"",139,"",""
"North Kenai Beach 4",2019,"Enterococci",2019-06-11,"",1,"",""
"North Kenai Beach 4",2019,"Enterococci",2019-06-18,"",36,"",""
"North Kenai Beach 4",2019,"Enterococci",2019-06-25," 13.5",15,"","> 130"
"North Kenai Beach 4",2019,"Enterococci",2019-07-02," 20.3",46,"","> 130"
