"Year","Location","Bacteria","Date","Individual Sample Value","30 Day Rolling Geometric Mean Value","Individual Sample Value Exceedance","30 Day Geometric Mean Exceedance"
2020,"North Kenai Beach 4","Fecal Coliform",2020-06-23,14,"   NA","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-06-29,2.9," 14.3","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-07-07,3.3,"  8.9","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-07-13,29," 11.6","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-07-20,31," 10.4","> 31",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-07-27,2,"  7.0","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-08-05,31," 11.3","> 31",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-08-11,43," 18.9","> 31",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-08-18,42," 20.3","> 31",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-05-26,4,"   NA","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-06-04,69,"   NA","> 31",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-06-09,3.845,"   NA","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-06-09,7.7,"   NA","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-06-18,46,"   NA","> 31",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-06-23,49,"   NA","> 31",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-06-29,5.7," 17.2","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-07-07,13," 13.1","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-07-13,600," 39.8","> 400",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-07-20,196," 53.2","> 31",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-07-27,8.6," 37.6","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-08-05,184," 75.3","> 31",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-08-11,17," 79.4","",""
2020,"South Kenai Beach 3","Fecal Coliform",2020-08-18,153," 60.4","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-05-26,3,"   NA","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-04,38,"   NA","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-09,32,"   NA","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-18,15,"   NA","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-23,17,"   NA","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-29,3.3," 15.9","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-07,22," 14.3","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-13,15," 12.3","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-20,46," 15.3","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-27,1,"  8.7","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-08-05,6.7," 10.0","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-08-11,1.7,"  6.0","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-08-18,36,"  7.2","> 31",""
